in_bag_percentage,feature_option,sample_size,max_features,accuracy
0.25,sqrt,173,sqrt,0.6734006734006734
0.25,0.1,173,1,0.5555555555555556
0.25,0.5,173,5,0.5757575757575758
0.25,0.8,173,8,0.569023569023569
0.25,0.9,173,9,0.632996632996633
0.25,1.0,173,10,0.5959595959595959
0.4,sqrt,277,sqrt,0.6666666666666666
0.4,0.1,277,1,0.6026936026936027
0.4,0.5,277,5,0.6936026936026936
0.4,0.8,277,8,0.6801346801346801
0.4,0.9,277,9,0.6498316498316499
0.4,1.0,277,10,0.6531986531986532
0.6,sqrt,415,sqrt,0.7643097643097643
0.6,0.1,415,1,0.696969696969697
0.6,0.5,415,5,0.8215488215488216
0.6,0.8,415,8,0.7676767676767676
0.6,0.9,415,9,0.7272727272727273
0.6,1.0,415,10,0.7239057239057239
0.75,sqrt,519,sqrt,0.7710437710437711
0.75,0.1,519,1,0.734006734006734
0.75,0.5,519,5,0.7777777777777778
0.75,0.8,519,8,0.7811447811447811
0.75,0.9,519,9,0.7609427609427609
0.75,1.0,519,10,0.7239057239057239
0.9,sqrt,623,sqrt,0.7912457912457912
0.9,0.1,623,1,0.7710437710437711
0.9,0.5,623,5,0.8047138047138047
0.9,0.8,623,8,0.7912457912457912
0.9,0.9,623,9,0.8013468013468014
0.9,1.0,623,10,0.7373737373737373
